root,adaptation,budget_queries,method,selected_idx,hf_queries,hf_episode_cost,hf_native_environment_steps,hf_native_agent_steps,hf_native_episode_compute_seconds,selected_audit_gain,empirical_oracle_regret,queries,selected_distribution,allocation_mc_se_gain
327,12,4,uniform_v2_expected_100,,4,152,45530.48,287677.17,490.8617970024835,14.681288611292544,4.716483765285837,,"[4, 3, 4, 4, 3, 4, 4, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 3, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 3, 4, 3, 3, 4, 3, 4]",0.41171581207847313
327,12,1,author_PIVOT_VOI_E5C,3,1,56,16733.0,106933.0,182.52608032902936,19.39777237657838,0.0,[1],,
327,12,1,author_GlobalVOI_E5C,3,1,56,16789.0,106215.0,180.91195216594497,19.39777237657838,0.0,[5],,
327,12,1,author_Uniform_E5C,4,1,56,16761.0,106836.0,182.17805951775517,11.123239455024283,8.274532921554098,[4],,
327,12,1,author_LUCB_E5C,4,1,56,16789.0,107222.0,182.5518520322512,11.123239455024283,8.274532921554098,[3],,
327,12,2,author_PIVOT_VOI_E5C,2,2,88,26333.0,168690.0,287.9272654938977,3.792302908201931,15.60546946837645,"[1, 2]",,
327,12,2,author_GlobalVOI_E5C,3,2,88,26361.0,166596.0,284.2004589936696,19.39777237657838,0.0,"[5, 4]",,
327,12,2,author_Uniform_E5C,4,2,88,26305.0,167314.0,285.814587156754,11.123239455024283,8.274532921554098,"[4, 1]",,
327,12,2,author_LUCB_E5C,4,2,88,26361.0,167603.0,285.8403588599758,11.123239455024283,8.274532921554098,"[3, 4]",,
327,12,4,author_PIVOT_VOI_E5C,2,4,152,45505.0,289838.0,494.878071663843,3.792302908201931,15.60546946837645,"[1, 2, 3, 4]",,
327,12,4,author_GlobalVOI_E5C,2,4,152,45561.0,289120.0,493.2639435007586,3.792302908201931,15.60546946837645,"[5, 4, 3, 2]",,
327,12,4,author_Uniform_E5C,2,4,152,45505.0,289838.0,494.878071663843,3.792302908201931,15.60546946837645,"[4, 1, 3, 2]",,
327,12,4,author_LUCB_E5C,2,4,152,45561.0,289120.0,493.2639435007586,3.792302908201931,15.60546946837645,"[3, 4, 2, 5]",,
328,4,1,pivot_kg,6,1,24,7142.0,45679.0,77.89478732587304,19.09579204413471,0.0,[5],,
328,4,1,uniform_v2,6,1,24,7200.0,45846.0,78.38531463500112,19.09579204413471,0.0,[2],,
328,4,1,ivr_v2,6,1,24,7142.0,45679.0,77.89478732587304,19.09579204413471,0.0,[5],,
328,4,1,lucb_v2,6,1,24,7142.0,45679.0,77.89478732587304,19.09579204413471,0.0,[5],,
328,4,1,no_hf_v2,6,0,0,0.0,0.0,0.0,19.09579204413471,0.0,[],,
328,4,1,proxy_only,5,0,0,0.0,0.0,0.0,3.459538435117877,15.636253609016833,[],,
328,4,1,global_voi_heuristic,6,1,24,7200.0,45846.0,78.38531463500112,19.09579204413471,0.0,[2],,
328,4,1,uniform_v2_expected_100,,1,24,7181.47,45794.18,77.88075103970245,19.095792044134715,-3.552713678800501e-15,,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",3.5706115939831736e-16
328,4,2,pivot_kg,6,2,40,11942.0,76424.0,130.14136898086872,19.09579204413471,0.0,"[5, 4]",,
328,4,2,uniform_v2,6,2,40,12000.0,75253.0,128.8981307160575,19.09579204413471,0.0,"[2, 6]",,
328,4,2,ivr_v2,6,2,40,11942.0,76424.0,130.14136898086872,19.09579204413471,0.0,"[5, 4]",,
328,4,2,lucb_v2,6,2,40,11942.0,76424.0,130.14136898086872,19.09579204413471,0.0,"[5, 4]",,
328,4,2,no_hf_v2,6,0,0,0.0,0.0,0.0,19.09579204413471,0.0,[],,
328,4,2,proxy_only,5,0,0,0.0,0.0,0.0,3.459538435117877,15.636253609016833,[],,
328,4,2,global_voi_heuristic,6,2,40,11975.0,75967.0,129.53469666605815,19.09579204413471,0.0,"[2, 3]",,
328,4,2,uniform_v2_expected_100,,2,40,11962.93,76387.61,130.12664685561555,19.095792044134715,-3.552713678800501e-15,,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",3.5706115939831736e-16
328,4,4,pivot_kg,6,4,72,21514.0,137862.0,235.14303644094616,19.09579204413471,0.0,"[5, 4, 6, 1]",,
