CISR,CISR_ci_high,CISR_ci_low,CISR_cumulative_mean,CTI,CTI_ci_high,CTI_ci_low,CTI_cumulative_mean,environment_id,frozen_external_null,method,round,seed_n,source_status
,1.3149874669390087,0.9572776541396052,1.13031718430732,,-0.0367377955860393,-0.06382005550358578,-0.04990916996801899,performative_control,False,pivot_voi,35,30,
,1.3440441550122506,0.9783739160578918,1.1548482954113992,,-0.03780200168947895,-0.09144213697117085,-0.06237216042211553,performative_control,False,pivot_voi,36,30,
,1.3568506381253242,0.9922963386702657,1.168401484334287,,-0.03968336049489461,-0.0754865064947683,-0.056358115311814685,performative_control,False,pivot_voi,37,30,
,1.3856367966751686,1.0090575857599966,1.1909518018833054,,-0.03614798125156647,-0.10158595545329957,-0.06450087065437242,performative_control,False,pivot_voi,38,30,
,1.4074399341697776,1.0326678011436283,1.2135753116224648,,-0.043481361530734994,-0.08976358205202707,-0.06499413646903963,performative_control,False,pivot_voi,39,30,
,0.0,0.0,0.0,,0.010376670847690582,0.009481649046509309,0.009935353889308985,performative_control,False,all_hf,0,30,
,0.0,0.0,0.0,,0.004701257774606194,0.002212037523998815,0.003462436891953913,performative_control,False,all_hf,1,30,
,0.0,0.0,0.0,,-0.004774300345513229,-0.009156971685857086,-0.006884718410831132,performative_control,False,all_hf,2,30,
,0.0,0.0,0.0,,-0.02085076396107297,-0.029526766493303293,-0.025036839895260635,performative_control,False,all_hf,3,30,
,0.0,0.0,0.0,,-0.03874891918148762,-0.05255368648394852,-0.045451405987654354,performative_control,False,all_hf,4,30,
,0.0,0.0,0.0,,-0.058988945194999025,-0.07626916833981694,-0.06718347208809869,performative_control,False,all_hf,5,30,
,0.0,0.0,0.0,,-0.08100418581626712,-0.10652449521370921,-0.09284364363745744,performative_control,False,all_hf,6,30,
,0.0,0.0,0.0,,-0.0286409704322909,-0.05546567726907341,-0.040956036181084315,performative_control,False,all_hf,7,30,
,0.0,0.0,0.0,,-0.033376418513546335,-0.05421907654457784,-0.042936368287261724,performative_control,False,all_hf,8,30,
,0.0,0.0,0.0,,-0.018351144035405262,-0.03488026391202606,-0.02618102948926045,performative_control,False,all_hf,9,30,
,0.0,0.0,0.0,,-0.017793345016365134,-0.029637795328432234,-0.02312275891960704,performative_control,False,all_hf,10,30,
,0.0,0.0,0.0,,-0.015453821497959814,-0.02537062339342528,-0.02031980882384998,performative_control,False,all_hf,11,30,
,0.0,0.0,0.0,,-0.012730074795513953,-0.020765636947472698,-0.016719288724302957,performative_control,False,all_hf,12,30,
,0.0,0.0,0.0,,-0.015137043812707822,-0.024660932823314535,-0.019977285735992015,performative_control,False,all_hf,13,30,
,0.0,0.0,0.0,,-0.01295750463338333,-0.022812491326645482,-0.017761754425344452,performative_control,False,all_hf,14,30,
,0.0,0.0,0.0,,-0.013408475469218353,-0.024164471493922663,-0.01873176471847495,performative_control,False,all_hf,15,30,
,0.0,0.0,0.0,,-0.011226912179579907,-0.022342268440731186,-0.016693007169806172,performative_control,False,all_hf,16,30,
,0.0,0.0,0.0,,-0.013239258695212754,-0.025209878253920508,-0.01920164914795482,performative_control,False,all_hf,17,30,
,0.0,0.0,0.0,,-0.010249740146413869,-0.021683081904989507,-0.01584997520656871,performative_control,False,all_hf,18,30,
,0.0,0.0,0.0,,-0.011376349702215975,-0.02327777321826441,-0.01730637530678281,performative_control,False,all_hf,19,30,
,0.0,0.0,0.0,,-0.009161257011067256,-0.02094055760661222,-0.014963896049931908,performative_control,False,all_hf,20,30,
,0.0,0.0,0.0,,-0.010416440861961838,-0.022295933620448388,-0.016253582159580924,performative_control,False,all_hf,21,30,
,0.0,0.0,0.0,,-0.009072978369692897,-0.02069674911936741,-0.014843173380352811,performative_control,False,all_hf,22,30,
