CISR_ci_high,CISR_ci_low,budget,candidate_count,environment_id,mean_CISR,mean_CTI,mean_hf_cost,median_CISR,method,n_seeds,oracle_noncomparable
0.002475638199808991,0.0005685066879394333,0,4,congestion_resource,0.001440058730806685,0.06850126500754158,0.0,0.0,pivot_voi,30,False
0.0030122699623244226,0.001214938366948883,0,4,performative_control,0.002032956276147861,0.007713955206711318,0.0,0.0010830520166123375,pivot_voi,30,False
0.0028620100898785576,0.0008228293303863972,0,8,congestion_resource,0.001774313324547642,0.07219590294388371,0.0,0.0,pivot_voi,30,False
0.0028722771697985818,0.0015809054996295013,0,8,performative_control,0.0021860941000863814,0.007699452783183315,0.0,0.0014221150856470188,pivot_voi,30,False
0.003185497744295334,0.0012006324318478208,1,16,congestion_resource,0.002148346067839228,0.07432231252103384,1.0,0.0,pivot_voi,30,False
0.004178542231067343,0.0021776590229222147,1,16,performative_control,0.0031502079274309046,0.006884142715417115,1.0,0.00210454833257355,pivot_voi,30,False
0.0021124564154661237,0.0002808771723702197,1,4,congestion_resource,0.0011127500067289206,0.06882857373161935,1.0,0.0,pivot_voi,30,False
0.0015983362553854002,0.0006195906293330896,1,4,performative_control,0.0010503073894651263,0.008696604093394051,1.0,0.0007514886646557556,pivot_voi,30,False
0.0036559485626222344,0.0010150701737236109,1,8,congestion_resource,0.0022423166811892602,0.07172789958724209,1.0,0.0,pivot_voi,30,False
0.002735408841942633,0.0014432560902082586,1,8,performative_control,0.002045791242341381,0.007839755640928316,1.0,0.0014221150856470188,pivot_voi,30,False
0.0,0.0,16,16,congestion_resource,0.0,0.07647065858887306,16.0,0.0,pivot_voi,30,False
0.0,0.0,16,16,performative_control,0.0,0.010034350642848019,16.0,0.0,pivot_voi,30,False
0.0,0.0,16,4,congestion_resource,0.0,0.06994132373834828,4.0,0.0,pivot_voi,30,False
0.0,0.0,16,4,performative_control,0.0,0.009746911482859177,4.0,0.0,pivot_voi,30,False
0.0,0.0,16,8,congestion_resource,0.0,0.07397021626843132,8.0,0.0,pivot_voi,30,False
0.0,0.0,16,8,performative_control,0.0,0.009885546883269695,8.0,0.0,pivot_voi,30,False
